flow_duration,total_fwd_pkts,total_bwd_pkts,total_fwd_bytes,total_bwd_bytes,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,flow_bytes_s,flow_pkts_s,fwd_header_len,bwd_header_len,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,fin_flag_cnt,protocol,label
6020242.861835042,11,8,547,101,73,0,49.72727272727273,64,64,12.625,107.63685367378714,3.1560188577190678,220,160,0,0,0,1,0,0,0,6,BENIGN
7007114.950316624,12,6,0,2913,0,0,0.0,727,0,485.5,415.7203100925828,2.5688175700880502,240,120,0,0,1,1,0,0,0,6,BENIGN
1892741.7477995974,10,16,158,56,22,0,15.8,64,64,3.5,113.06349651175879,13.736686492082843,200,320,0,0,1,1,0,0,0,6,BENIGN
57.73909413844044,3,2,120,1710,60,0,40.0,1282,64,855.0,31694297.032305833,86596.43997897768,60,40,3,4,0,0,0,0,0,6,PortScan
992073.0720987278,18,8,844,332,69,0,46.888888888888886,64,64,41.5,1185.396553010128,26.207746920291942,360,160,0,0,0,1,0,0,0,6,BENIGN
145.22959384250882,9,0,360,1529,64,64,40.0,0,0,0.0,13006990.861989783,61970.840528273184,180,0,2,5,0,0,0,0,0,6,PortScan
1190.6957393449534,9,2,360,108,60,0,40.0,81,64,54.0,393047.51376490557,9238.296263705046,180,40,3,3,0,0,0,0,0,6,PortScan
295.2762483063298,8,2,320,1478,60,0,40.0,1108,64,739.0,6089213.102351166,33866.59122553485,160,40,4,6,1,0,0,0,0,6,PortScan
10695.722896728113,457,2,29248,2139,96,64,64.0,1603,64,1069.5,2934537.5065393173,42914.350383966186,9140,40,369,0,1,0,0,0,0,6,DoS
1157268.7569982861,19,7,387,497,64,64,20.36842105263158,106,0,71.0,763.8675067085642,22.4666913737813,380,140,0,0,1,1,0,0,0,6,BENIGN
28539.828667318012,87,3,5568,105,96,60,64.0,60,60,35.0,198774.84431069333,3153.487746864516,1740,60,72,0,1,0,0,0,0,6,DoS
13784.678491295505,515,2,32960,625,96,0,64.0,468,0,312.5,2436400.6763891983,37505.408655447834,10300,40,454,0,0,0,0,0,0,6,DoS
823817.1597248649,15,9,310,40,64,64,20.666666666666668,60,60,4.444444444444445,424.8515533676084,29.132677945207433,300,180,0,0,0,1,0,0,0,6,BENIGN
9522.583143626429,1961,1,145114,317,111,60,74.0,475,60,317.0,15272221.602742169,206036.53130749383,39220,20,1488,0,0,1,0,0,0,6,DDoS
2230310.0205945866,11,17,781,275,106,64,71.0,64,64,16.176470588235293,473.4767768825596,12.554308477946655,220,340,0,0,1,1,0,0,0,6,BENIGN
3607289.5884925937,6,16,24,536,64,64,4.0,64,64,33.5,155.2412098508597,6.098761815569488,120,320,0,0,1,1,0,0,0,6,BENIGN
2072248.683095384,9,1,304,437,49,0,33.77777777777778,655,0,437.0,357.5825652803141,4.825675644808557,180,20,0,0,1,1,0,0,0,6,BENIGN
1559363.0466718131,10,3,155,115,22,0,15.5,60,60,38.333333333333336,173.1476198414908,8.336737251627335,200,60,0,0,1,1,0,0,0,6,BENIGN
